Manufacturer,Description,Qty,Total Price ($),Product link
JLCPCB,PCB,5,2,
JLCPCBA,PCBA,2,19.15,
Samsung Electro-Mechanics,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,6,0.258,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702
Samsung Electro-Mechanics,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2,0.0442,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923
Samsung Electro-Mechanics,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,6,0.0138,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
"Jiangsu Changjing Electronics Technology Co., Ltd.",1A 40V 600mV@1A 9A Independent SOD-123 Schottky Diodes ROHS,2,0.0558,https://jlcpcb.com/partdetail/9093-B5819WSL/C8598
Hubei KENTO Elec,-40℃~+85℃ 1.8V~2.4V 120° 20mA 300mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0603 LED Indication - Discrete ROHS,2,0.0146,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286
UNI-ROYAL(Uniroyal Elec),-55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,2,0.0028,https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168
UNI-ROYAL(Uniroyal Elec),-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,4,0.004,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905
UNI-ROYAL(Uniroyal Elec),-55℃~+155℃ 2.2kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,2,0.0024,https://jlcpcb.com/partdetail/26622-0402WGF2201TCE/C25879
UNI-ROYAL(Uniroyal Elec),-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,4,0.0128,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744
XUNPU,"-30℃~+80℃ 1.6N 100,000 cycles 12V 2mm 3.9mm 3mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",4,0.22,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477
STMicroelectronics,-40℃~+125℃ 150nA 17V 2 3.5pF 5.25V 5A 6V ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS,5,0.8345,https://jlcpcb.com/partdetail/STMicroelectronics-USBLC62SC6/C7519
Advanced Monolithic Systems,"-40℃~+125℃ 0.003%Vout 1 1.1V@(800mA) 15V 1A 3.3V 5mA 72dB@(120Hz) Fixed Over Current Protection、Short Circuit Protection、Thermal shutdown Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",2,0.396,https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186
Korean Hroparts Elec,"-30℃~+80℃ 1 10,000 cycles 16P 20V 5A 7.35mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",2,0.3674,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948
Espressif Systems,offer powerful dual-core processing for advanced IoT applications with reliable Wi-Fi and Bluetooth connectivity.,1,$4.77,https://www.lcsc.com/product-detail/C2913198.html
BOOMELE(Boom Precision Elec),"-40℃~+105℃ 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole 插件,P=2.54mm Pin Headers ROHS",5,0.78,https://www.lcsc.com/product-detail/C50981.html
JLCPCB Shipping (GSDL),,,3.12,
LCSC Shipping (GSDL),,,8,
LCSC Handling Fee,,,5,
TOTAL,,,$42.82,
