Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10uF,C_0603_1608Metric,164.0,-96.5,90.0,top
C11,10uF,C_0603_1608Metric,155.099695,-52.253318,180.0,bottom
C12,0.1uF,C_0402_1005Metric,154.52,-53.5,180.0,bottom
C13,10uF,C_0603_1608Metric,157.745,-111.005,-90.0,top
C14,1uF,C_0402_1005Metric,156.5,-108.0,-90.0,top
C15,0.1uF,C_0402_1005Metric,159.0,-108.48,-90.0,top
C7,10uF,C_0603_1608Metric,157.0,-104.5,90.0,top
C8,0.1uF,C_0402_1005Metric,158.211044,-103.932653,90.0,top
C9,0.1uF,C_0402_1005Metric,165.213296,-97.078182,90.0,top
D1,D_Schottky_Small,SOD-123_L2.7-W1.6-LS3.7-RD,163.5,-105.5,-90.0,top
D5,RED LED,LED_0603_1608Metric,164.000315,-91.639767,-90.0,top
F1,Polyfuse_Small,Fuse_0402_1005Metric,161.5,-107.0,180.0,top
J2,Conn_01x22_Pin,PinHeader_1x20_P2.54mm_Vertical,152.0,-95.99,0.0,top
J3,Conn_01x22_Pin,PinHeader_1x20_P2.54mm_Vertical,169.0,-96.03,0.0,top
R1,5.1k,R_0402_1005Metric,158.5,-113.380727,90.0,top
R2,5.1k,R_0402_1005Metric,163.013653,-113.383152,90.0,top
R3,2.2k,R_0402_1005Metric,164.266355,-94.085855,90.0,top
R5,10k,R_0402_1005Metric,165.0,-107.99,90.0,top
R6,10k,R_0402_1005Metric,157.5,-73.0,0.0,top
SW1,BOOT,SW-SMD_L3.9-W3.0-P4.45,165.5,-111.82,90.0,top
SW2,EN,SW-SMD_L3.9-W3.0-P4.45,155.5,-112.0,90.0,top
U1,ESP32-S3-WROOM-1,WIFIM-SMD_ESP32-S3-WROOM-1-N8,160.5,-59.98,0.0,top
U2,USBLC6-2SC6,SOT-23-6,161.0,-111.3625,0.0,top
U3,SGM2212-3.3XKC3G,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,160.96,-100.0,0.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,160.5,-118.0775,0.0,top
